"species_2_Node.ID","species_1_Node.ID","species_2_id","species_1_id","Sp1.Species.Stage.ID","species_1_stage.ID","species_1_stage","species_1.accepted.name","species_2_id","Sp2.Species.Stage.ID","species_2_stage.ID","species_2_stage","species_2.accepted.name","interaction_sign","interaction_strength","Interaction_code","interaction_type","Justification","data.source","initials","Notes","latitude","longitude","Reference","ecosystem","tidal_zone","depth_meters","site_name","state","in_lab","experiment_or_observation","month","year_of_study","length_in_months_of_study","paper_id","last_name_first_author","year_published","DOI","in_maine","Timestamp","wave_exposure"
"52",11,52,11,11.1,1,"adult","Lacuna vincta",52,52.1,1,"adult","Ulva lactuca","-1","No","1","predation; herbivory","3","Globi; Paper.Database","DNM; JRR","NA; Mentions some exposure to swells and storms; Summer 1998; ","38.22824355; 43.166667","-99.26389019; 70.6","Chavanich, S. and L.G. Harris. 2002. The influence of macroalgae on seasonal abundance and feeding preference of a subtidal snail, <i>Lacuna vincta</i> (Montagu) (Littorinidae) in the Gulf of Maine. J. Moll. Stud. 68:73-78.; Palomares, M.L.D. and D. Pauly. Editors. 2018. SeaLifeBase. World Wide Web electronic publication. www.sealifebase.org, version (10/2018).; 484.Chavanich.2002.10.1093/mollus/68.1.73; 564.Sachuna.2001.; 568.Chavanich.2002.10.1093/mollus/68.1.73","NA; subtidal","NA; ","NA; -6","NA; Cape Neddick, York, ME; Cape Neddick","NA; ME","NA; Yes","NA; experimental","NA; 4","NA; 1998","NA; 23","NA; 484; 564; 568","NA; Chavanich; Sachuna","NA; 2002; 2001","NA; 10.1093/mollus/68.1.73; ","NA; Yes","6/29/22 14:00; 9/8/2021 13:42:24; 10/1/2021 8:57:10; 10/1/2021 10:03:27","NA; not mentioned; wave exposed; wave intermediate"
"56",11,56,11,11.1,1,"adult","Lacuna vincta",56,56.1,1,"adult","Enteromorpha sp., ulva intestinalis","-1","No","1","predation; herbivory","10","inferred by D Morton","DNM","NA; Mentions some exposure to swells and storms; Summer 1998; ","38.22824355; 43.166667","-99.26389019; 70.6","Chavanich, S. and L.G. Harris. 2002. The influence of macroalgae on seasonal abundance and feeding preference of a subtidal snail, <i>Lacuna vincta</i> (Montagu) (Littorinidae) in the Gulf of Maine. J. Moll. Stud. 68:73-78.; Palomares, M.L.D. and D. Pauly. Editors. 2018. SeaLifeBase. World Wide Web electronic publication. www.sealifebase.org, version (10/2018).; 484.Chavanich.2002.10.1093/mollus/68.1.73; 564.Sachuna.2001.; 568.Chavanich.2002.10.1093/mollus/68.1.73","NA; subtidal","NA; ","NA; -6","NA; Cape Neddick, York, ME; Cape Neddick","NA; ME","NA; Yes","NA; experimental","NA; 4","NA; 1998","NA; 23","NA; 484; 564; 568","NA; Chavanich; Sachuna","NA; 2002; 2001","NA; 10.1093/mollus/68.1.73; ","NA; Yes","6/29/22 14:00; 9/8/2021 13:42:24; 10/1/2021 8:57:10; 10/1/2021 10:03:27","NA; not mentioned; wave exposed; wave intermediate"
"1",117,1,117,117.1,1,"adult","Phalacrocorax auritus",1,1.1,1,"adult","Mytilus edulis","-1","No","1","predation","3","Globi","DNM","NA","NA","NA","Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86.; Allen Hurlbert. 2017. Avian Diet Database.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6/29/22 14:00","NA"
"154",117,154,117,117.1,1,"adult","Phalacrocorax auritus",154,154.1,1,"adult","Myoxocephalus octodecemspinosus","-1","No","1","predation","3","Globi; Paper.Database","DNM; JRR","NA; ","NA","NA","Ross, R. K. 1974. A comparison of the feeding and nesting requirements of the Great Cormorant (Phalacrocorax carbo L.) and Double-Crested Cormorant (P. auritus Lesson) in Nova Scotia. Proc. N.S. Inst. Sci. 27:114-132.; Allen Hurlbert. 2017. Avian Diet Database.; Pilon, C., J. Burton and R. McNeil. 1983. Summer food of the Great and Double-crested Cormorants on the Magdalen Islands, Quebec. Ca. J. Zool. 61:2733-2739.; Allen Hurlbert. 2017. Avian Diet Database.; 664.Blackwell.1995.10.3354/meps123001","NA; ","NA; ","NA","NA; Penebscot Bay","NA; ME","NA; No","NA; observational","NA; 7","NA; 1993","NA","NA; 664","NA; Blackwell","NA; 1995","NA; 10.3354/meps123001","NA; Yes","6/29/22 14:00; 10/22/2021 14:53:56","NA; not mentioned"
"155",117,155,117,117.1,1,"adult","Phalacrocorax auritus",155,155.1,1,"adult","Myoxocephalus scorpius","-1","No","1","predation","3","Globi","DNM","NA","NA; 57.09996667","NA; 16.56955","Ross, R. K. 1974. A comparison of the feeding and nesting requirements of the Great Cormorant (Phalacrocorax carbo L.) and Double-Crested Cormorant (P. auritus Lesson) in Nova Scotia. Proc. N.S. Inst. Sci. 27:114-132.; Allen Hurlbert. 2017. Avian Diet Database.; Bostrom, M. K., O. Ostman, M. A. J. Bergenius and S. Lunneryd. 2012. Comorant diet in relation to temporal changes in fish communities. ICES J. Mar. Sci. 69:175-183.; Allen Hurlbert. 2017. Avian Diet Database.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6/29/22 14:00","NA"
"156",117,156,117,117.1,1,"adult","Phalacrocorax auritus",156,156.2,2,"juvenile","Pollachius virens","-1","No","1","predation","3","Paper.Database","AAK","","43","70.583333","670.Dunn.1975.10.2307/4084609","","","NA","Duck Island","NH","No","observational","NA","1972","NA","670","Dunn","1975","10.2307/4084609","No","10/25/21 9:02","not mentioned"
"157",117,157,117,117.1,1,"adult","Phalacrocorax auritus",157,157.1,1,"adult","Tautoga onitis","-1","No","1","predation","3","Globi","DNM","NA","39.75320879; 39.62117403","-74.1632282; -74.09518037","Zane Roskoph. 2020. Phalacrocorax auritus eating Tautoga onitis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/64629616> on 25 Jun 2022.; http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.; Zane Roskoph. 2020. Tautoga onitis eaten by Phalacrocorax auritus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/64629674> on 25 Jun 2022.; http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6/29/22 14:00","NA"
"160",117,160,117,117.1,1,"adult","Phalacrocorax auritus",160,160.1,1,"adult","Gasterosteus aculeatus","-1","No","1","predation","3","Globi","DNM","NA","57.48562488; NA; 44.06666667; 44.1833333","-105.2526868; NA; -76.55; -76.5333333","Robertson, I. 1974. The food of nesting double-crested and pelagic cormorants at Mandarte Island, British Columbia, with notes on feeding ecology. Condor 76(3):346-348.; Palomares, M.L.D. and D. Pauly. Editors. 2018. SeaLifeBase. World Wide Web electronic publication. www.sealifebase.org, version (10/2018).; Robertson, I. 1974. The Food of Nesting Double-Crested and Pelagic Cormorants at Mandarte Island, British Columbia, with Notes on Feeding Ecology. Condor 76:346-348.; Allen Hurlbert. 2017. Avian Diet Database.; Johnson, J. H., R. M. Ross, R. D. McCullough and A. Mathers. 2010. Diet shift of double-crested cormorants in eastern Lake Ontario associated with the expansion of the invasive round goby. J. Great Lakes Res. 36:242-247.; Allen Hurlbert. 2017. Avian Diet Database.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6/29/22 14:00","NA"
"163",117,163,117,117.1,1,"adult","Phalacrocorax auritus",163,163.1,1,"adult","Myoxocephalus aenaeus","-1","No","1","predation","3","Globi; Paper.Database","DNM; JRR","NA; ","NA","NA","Pilon, C., J. Burton and R. McNeil. 1983. Summer food of the Great and Double-crested Cormorants on the Magdalen Islands, Quebec. Ca. J. Zool. 61:2733-2739.; Allen Hurlbert. 2017. Avian Diet Database.; 664.Blackwell.1995.10.3354/meps123001","NA; ","NA; ","NA","NA; Penebscot Bay","NA; ME","NA; No","NA; observational","NA; 7","NA; 1993","NA; 1","NA; 664","NA; Blackwell","NA; 1995","NA; 10.3354/meps123001","NA; Yes","6/29/22 14:00; 10/22/2021 14:51:45","NA; not mentioned"
"20",117,20,117,117.1,1,"adult","Phalacrocorax auritus",20,20.1,1,"adult","Tautogolabrus adspersus","-1","No","1","predation","3","Globi; Paper.Database","DNM; JRR; AAK","NA; ","NA; 43","NA; 70.583333","Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86.; Allen Hurlbert. 2017. Avian Diet Database.; Blackwell, B. F., W. B. Krohn, and R. B. Allen. 1995. Foods of nestling Double-crested Cormorants in Penobscot Bay, Maine, U.S.A.: temporal and spatial comparisons. Colon. Waterbirds 18(Spec. Publ. 1):199-208.; Allen Hurlbert. 2017. Avian Diet Database.; Pilon, C., J. Burton and R. McNeil. 1983. Summer food of the Great and Double-crested Cormorants on the Magdalen Islands, Quebec. Ca. J. Zool. 61:2733-2739.; Allen Hurlbert. 2017. Avian Diet Database.; Ross, R. K. 1974. A comparison of the feeding and nesting requirements of the Great Cormorant (Phalacrocorax carbo L.) and Double-Crested Cormorant (P. auritus Lesson) in Nova Scotia. Proc. N.S. Inst. Sci. 27:114-132.; Allen Hurlbert. 2017. Avian Diet Database.; 663.Blackwell.1995.; 664.Blackwell.1995.10.3354/meps123001; 670.Dunn.1975.10.2307/4084609","NA; ","NA; ","NA","NA; Penobscot Bay; Penebscot; Duck Island","NA; ME; NH","NA; No","NA; observational","NA; 6; 7","NA; 1993; 1972","NA; 2","NA; 663; 664; 670","NA; Blackwell; Dunn","NA; 1995; 1975","NA; ; 10.3354/meps123001; 10.2307/4084609","NA; No; Yes","6/29/22 14:00; 10/22/2021 11:08:30; 10/22/2021 14:59:17; 10/25/2021 9:01:59","NA; not mentioned"
"66",117,66,117,117.1,1,"adult","Phalacrocorax auritus",66,66.1,1,"adult","Homarus americanus","-1","No","1","predation","3","Globi","DNM","NA","NA","NA","Blackwell, B. F., W. B. Krohn, and R. B. Allen. 1995. Foods of nestling Double-crested Cormorants in Penobscot Bay, Maine, U.S.A.: temporal and spatial comparisons. Colon. Waterbirds 18(Spec. Publ. 1):199-208.; Allen Hurlbert. 2017. Avian Diet Database.; Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86.; Allen Hurlbert. 2017. Avian Diet Database.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6/29/22 14:00","NA"
"7",117,7,117,117.1,1,"adult","Phalacrocorax auritus",7,7.1,1,"adult","Littorina saxatilis","-1","No","1","predation","3","Globi","DNM","NA","NA","NA","Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86.; Allen Hurlbert. 2017. Avian Diet Database.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6/29/22 14:00","NA"
"8",117,8,117,117.1,1,"adult","Phalacrocorax auritus",8,8.1,1,"adult","Littorina littorea","-1","No","1","predation","3","Globi","DNM","NA","NA","NA","Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86.; Allen Hurlbert. 2017. Avian Diet Database.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6/29/22 14:00","NA"
"9",117,9,117,117.1,1,"adult","Phalacrocorax auritus",9,9.1,1,"adult","Littorina obtusata","-1","No","1","predation","3","Globi","DNM","NA","NA","NA","Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86.; Allen Hurlbert. 2017. Avian Diet Database.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6/29/22 14:00","NA"
"168",118,168,118,118.1,1,"adult","Electra pilosa",168,168.1,1,"adult","Detritus.dom","-1","No","1","detritivory","6","inferred by A Keyes","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"171",118,171,118,118.1,1,"adult","Electra pilosa",171,171.1,1,"adult","Diatoms.benthic","-1","No","1","herbivory","6","inferred by A Keyes","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"174",118,174,118,118.1,1,"adult","Electra pilosa",174,174.1,1,"adult","Diatoms.planktonic","-1","No","1","herbivory","6","inferred by A Keyes","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"176",118,176,118,118.1,1,"adult","Electra pilosa",176,176.1,1,"adult","Microplankton, bacteria, protozoa, nanoplankton","-1","No","1","herbivory","6","inferred by A Keyes","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"320",118,250,118,118.1,1,"adult","Electra pilosa",250,250.1,1,"adult","Cyanobacteriaceae","-1","No","1","herbivory","4","inferred by D Morton","DNM","based off feeding on benthic diatoms. Can be suspended by wave action and consumed by filter feeders","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25",12,25,12,12.1,1,"adult","Idotea balthica",25,25.1,1,"adult","Elachista fucicola","-1","No","1","herbivory","3","Paper.Database","AAK","","NA","NA","898.Jormalainen.2001.10.3354/meps220219","","","NA","","","Yes","","NA","NA","NA","898","Jormalainen","2001","10.3354/meps220219","No","11/30/21 16:14","NA"
"29",12,29,12,12.1,1,"adult","Idotea balthica",29,29.1,1,"adult","Fucus vesiculosus","-1","Yes; No","1","herbivory; predation","3","Paper.Database","DT; SKM; AAK","; feeding preferences in lab -- specimens collected in Denmark; from book chapter","44.436028; NA; 55.6","68.28475; NA; 10.6","289.Long, Jeremy.2007.10.1890/06-1585; 543.Bell.2009.; 896.Nejrup.2012.10.1007/s00227-012-1959-9; 755.Thornber.2016.","rocky intertidal; subtidal; ","","NA","Mount Desert Island Biological Laboratory, Salisbury Cove; ; Fyns Hoved","ME; MA; Denmark; ","Yes; ","experimental; ","NA","NA; 2008","NA","289; 543; 896; 755","Long, Jeremy; Bell; Nejrup; Thornber","2007; 2009; 2012; 2016","10.1890/06-1585; ; 10.1007/s00227-012-1959-9","Yes; No","7/21/2021 5:50:10; 9/24/2021 15:34:57; 11/30/2021 16:23:44; 11/4/2021 10:56:17","; not mentioned"
"46",12,46,12,12.1,1,"adult","Idotea balthica",46,46.1,1,"adult","Carradoriella elongata","-1","No","1","herbivory","6","Paper.Database","AAK","feeding preferences in lab -- specimens collected in Denmark; different species of ceramium than we have in our list but thought we could connect to Ceramium deslongchampsii (ID 48) and as well as several in synonyms (ID scientific name): 28 Pylaiella littoralis, 47 hildenbrandia rubra , 43 alaria esculenta, 33 laminaria digitata, 35 saccharina latissima, 46 Carradoriella elongata, 53        palmaria palmata, 60        plumaria plumosa, 61 Vertebrata lanosa","55.6","10.6","896.Nejrup.2012.10.1007/s00227-012-1959-9","subtidal","","NA","Fyns Hoved","Denmark","Yes","experimental","NA","NA","NA","896","Nejrup","2012","10.1007/s00227-012-1959-9","No","11/30/21 16:23","NA"
"48",12,48,12,12.1,1,"adult","Idotea balthica",48,48.1,1,"adult","Ceramium deslongchampsii","-1","No","1","herbivory","10","Paper.Database","AAK","feeding preferences in lab -- specimens collected in Denmark; different species of ceramium than we have in our list but thought we could connect to Ceramium deslongchampsii (ID 48) and as well as several in synonyms (ID scientific name): 28 Pylaiella littoralis, 47 hildenbrandia rubra , 43 alaria esculenta, 33 laminaria digitata, 35 saccharina latissima, 46 Carradoriella elongata, 53        palmaria palmata, 60        plumaria plumosa, 61 Vertebrata lanosa; this species of ceramium is not on our list but I. baltica consumed it (was least preferred out of 6 algae species)","55.6; NA","10.6; NA","896.Nejrup.2012.10.1007/s00227-012-1959-9; 898.Jormalainen.2001.10.3354/meps220219","subtidal; ","","NA","Fyns Hoved; ","Denmark; ","Yes","experimental; ","NA","NA","NA","896; 898","Nejrup; Jormalainen","2012; 2001","10.1007/s00227-012-1959-9; 10.3354/meps220219","No","11/30/21 16:23; 11/30/21 16:14","NA"
"52",12,52,12,12.1,1,"adult","Idotea balthica",52,52.1,1,"adult","Ulva lactuca","-1","No","1","herbivory","10","Paper.Database","AAK","feeding preferences in lab -- specimens collected in Denmark; different species of ceramium than we have in our list but thought we could connect to Ceramium deslongchampsii (ID 48) and as well as several in synonyms (ID scientific name): 28 Pylaiella littoralis, 47 hildenbrandia rubra , 43 alaria esculenta, 33 laminaria digitata, 35 saccharina latissima, 46 Carradoriella elongata, 53        palmaria palmata, 60        plumaria plumosa, 61 Vertebrata lanosa","55.6","10.6","896.Nejrup.2012.10.1007/s00227-012-1959-9","subtidal","","NA","Fyns Hoved","Denmark","Yes","experimental","NA","NA","NA","896","Nejrup","2012","10.1007/s00227-012-1959-9","No","11/30/21 16:23","NA"
"54",12,54,12,12.1,1,"adult","Idotea balthica",54,54.1,1,"adult","Cladophora spp.","-1","No","1","herbivory","3","Paper.Database","AAK","","NA","NA","751.Linderhorf.2019.","","","NA","","","","","NA","NA","NA","751","Linderhorf","2019","","No","11/4/21 10:28","not mentioned"
"56",12,56,12,12.1,1,"adult","Idotea balthica",56,56.1,1,"adult","Enteromorpha sp., ulva intestinalis","-1","No","1","herbivory","3","Paper.Database","AAK","i. balthica eats a specific species of enteromorpha in the study, generalizing here in this entry","NA","NA","898.Jormalainen.2001.10.3354/meps220219","","","NA","","","Yes","","NA","NA","NA","898","Jormalainen","2001","10.3354/meps220219","No","11/30/21 16:15",""
"171",13,171,13,13.1,1,"adult","Testudinalia testudinalis",171,171.1,1,"adult","Diatoms.benthic","-1","No","1","herbivory","3","Paper.Database","AAK"," ","NA","NA","761.Lyczkowski.2008.","rocky intertidal","","NA","Pemaquid Point, Owls Head State Park, and Reid State Park","ME","","","1","2008","3","761","Lyczkowski","2008","","Yes","11/4/21 12:21",""
"25",13,25,13,13.1,1,"adult","Testudinalia testudinalis",25,25.1,1,"adult","Elachista fucicola","-1","No","1","herbivory","11","Trophic.Relationships","DNM","Hosts eaten: Ascophyllum nodosum","NA","NA","Cattin Blandenier (2004); Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"320",13,250,13,13.1,1,"adult","Testudinalia testudinalis",250,250.1,1,"adult","Cyanobacteriaceae","-1","No","1","herbivory","6","Paper.Database","HL","","50.3","4.083333","","rocky intertidal","","","Wembury Bay","United Kingdom","no","experimental","6","2002","9","976","Noel","2009","10.1016/j.jembe.2008.11.005","","",""
"36",13,36,13,13.1,1,"adult","Testudinalia testudinalis",36,36.1,1,"adult","Chondrus crispus","-1","No","1","herbivory","3","Paper.Database","SLF","","NA","NA","91.Lubchenco.1978.10.2307/2937360","rocky intertidal","low","NA","","ME","No","observational","NA","NA","NA","91","Lubchenco","1978","10.2307/2937360","Yes","6/29/21 13:09",""
"41",13,41,13,13.1,1,"adult","Testudinalia testudinalis",41,41.1,1,"adult","Ralfsia fungiformis","-1","No","1","predation","3","Globi","DNM","NA","48.497256; 48.612273; 48.497686; 48.612572; 48.612159; 48.612274; 48.612117; 48.612437; 48.497064","-68.49521; -68.231071; -68.494574; -68.229489; -68.230736; -68.229777; -68.230525; -68.22975; -68.495416","Cattin Blandenier (2004); Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6/29/22 14:00","NA"
"47",13,47,13,13.1,1,"adult","Testudinalia testudinalis",47,47.1,1,"adult","Hildenbrandia rubra","-1","No","1","predation","3","Paper.Database","AAK","Field and lab study; lat long provided for each study site (3 total so didn't include earlier) , Owl’s Head, Maine (44°5´N, 69°2´W);   Pemaquid Point, Maine (44°30´N, 69°32´W);t Reid State Park, Maine (43°47´N, 69°43´W)","NA","NA","729.Lord.2008.","rocky intertidal","","NA","Owl's Head Lighthouse, Pemaquid Point, Reid State Park","ME","Yes","observational","3","2008","NA","729","Lord","2008","","Yes","11/1/21 12:36",""
