"Node.ID","Accepted.species.name","Disagg.Node.ID","Species.ID","Species.Stage.ID","stage_ID","Exp.Aggregated.Node.ID","Exp.Aggregated.name","stage","Disagg.species.name","Phylum","Class","Order","Genus","species","Node.Resolution","functional.group","metabolic_type","movement_type","transience","captured.by.historical.surveys","captured.by.Allen.Island.surveys","synonyms","Locality","Reference","life.history","AphiaID","Notes","Justification","common.name","Working.group","Organismal.group","Abundant.or.important","confirmed.on.Allen.Island","keep.remove","Exctinction.allowed","Detection.in.historical.surveys","Detection.in.experiment","TL","OI"
21,"Larus marinus","21","21","21.1","1","21","Larus marinus","adult","Larus marinus","Chordata","Aves","Charadriiformes","Larus","marinus","species","predator","heterotroph","mobile","transient","no","no","Larus naevius Gmel., 1887","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","Great black-backed gull","birds","Aves","x","x","NA","Y","n","n",4.04645744385749,0.586733252497593
22,"Larus argentatus","22","22","22.1","1","22","Larus argentatus","adult","Larus argentatus","Chordata","Aves","Charadriiformes","Larus","argentatus","species","predator","heterotroph","mobile","transient","no","no","none","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","Herring gull","birds","Aves","x","x","NA","Y","n","n",3.67128138128496,0.543543231243482
31,"Fucus distichus","31","31","31.1","1","31","Fucus distichus","adult","Fucus distichus","Ochrophyta","Phaeophyceae","Fucales","Fucus","distichus","species","seaweed","autotroph","sessile","resident","yes","yes","Fucus distichus edentatus f. abbreviatus; Fucus distichus f. robustior; Fucus distichus f. tenuior; Fucus distichus var. distichus; Fucus distichus var. miclonensis; Fucus distichus var. robustior; Fucus distichus var. tenuior; Fucus evanescens var. cuneatus; Fucus evanescens var. ecostatus; Fucus evanescens var. oregonensis; Fucus fueci; Fucus fueci f. elenkini; Fucus fueci f. ruprechti; Fucus furcatus; Fucus furcatus f. abbreviatus; Fucus furcatus f. angustus; Fucus furcatus f. elongatus; Fucus furcatus f. luxurians; Fucus furcatus f. typicus; Fucus gardneri; Fucus inflatus f. distichus; Fucus inflatus f. linearis; Fucus inflatus var. linearis; Fucus linearis; Fucus miclonensis; Fucus nitens; Virsodes distichum; Virsodes furcatum","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","rock weed","rock weed","Macroalgae","x","x","NA","Y","y","y",1.00000000000002,0
36,"Chondrus crispus","36","36","36.1","1","36","Chondrus crispus","adult","Chondrus crispus","Rhodophyta","Florideophyceae","Gigartinales","Chondrus","crispus","species","seaweed","autotroph","sessile","resident","yes","yes","Chondrus crispus f. abbreviatus; Chondrus crispus f. aequalis; Chondrus crispus f. densus; Chondrus crispus f. incurvatus; Chondrus crispus f. polychotoma; Chondrus crispus f. polychotomus; Chondrus crispus f. typica; Chondrus crispus var. aequalis; Chondrus crispus var. incurvatus; Chondrus crispus var. lacerus; Chondrus crispus var. patens; Chondrus crispus var. planus; Chondrus crispus var. sarniensis; Chondrus crispus var. virens; Chondrus norvegicus; Chondrus platysma; Chondrus variolosus; Fucus ceranoides var. lacerus; Fucus crispus; Fucus crispus var. aequalis; Fucus crispus var. brunneus; Fucus crispus var. filiformis; Fucus crispus var. lacerus; Fucus crispus var. patens; Fucus crispus var. planus; Fucus crispus var. sarniensis; Fucus crispus var. virens; Fucus lacerus; Fucus norvegicus; Fucus patens; Gigartina heterocarpa; Gymnogongrus norvegicus; Iridaea heterocarpa; Iridophycus heterocarpus; Oncotylus norvegicus; Polymorpha aequalis; Polymorpha crispa; Polymorpha norvegicus; Sphaerococcus crispus f. aequalis; Sphaerococcus crispus var. ciliatus; Sphaerococcus norvegicus","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","","direct observation; in literature","irish moss","red algae","Macroalgae","x","x","NA","Y","y","y",0.999999999999992,0
47,"Hildenbrandia.spp.and.unk.brown.red.crusts ","47","47","47.1","1","47","Hildenbrandia.spp.and.unk.brown.red.crusts ","adult","Hildenbrandia.spp.and.unk.brown.red.crusts ","Rhodophyta","Florideophyceae","Hildenbrandiales","Hildenbrandia","spp.","aggregate group","seaweed","autotroph","sessile","resident","yes","yes","Hildenbrandia nardiana, Hildenbrandia nardoi, Hildenbrandia prototypus, Hildenbrandia rosea,/// Hildenbrandia rosea var. fuscescens, Hildenbrandia sanguinea, Rhododermis drummondii, Verrucaria rubra","Gulf of Maine, USA","present study; Sorte, Cascade J. B., Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, and Bruce A. Menge. “Long-Term Declines in an Intertidal Foundation Species Parallel Shifts in Community Composition.” Global Change Biology 23, no. 1 (2017): 341–52. https://doi.org/10.1111/gcb.13425.","free.living","NA","many sp of Hildenbrandia likely in present study, plus unknown brown and red crusts that are not possible to ID in field","direct observation; in literature","rock rust","crustose red algae","Macroalgae","x","x","NA","Y","partial","partial",1,0
66,"Homarus americanus","66","66","66.1","1","66","Homarus americanus","adult","Homarus americanus","Arthropoda","Malacostraca","Decapoda","Homarus","americanus","species","predator","heterotroph","mobile","transient","no","no","none","","Jones, Patricia L., and Myra J. Shulman. “Subtidal-Intertidal Trophic Links: American Lobsters [Homarus Americanus (Milne-Edwards)] Forage in the Intertidal Zone on Nocturnal High Tides.” Journal of Experimental Marine Biology and Ecology 361, no. 2 (July 4, 2008): 98–103. https://doi.org/10.1016/j.jembe.2008.05.004.; iNaturalist research grade observation","free.living","NA","","in literature","american lobster","crabs and lobster","Decapoda","","","NA","Y","n","n",3.12863828231075,0.618651962349606
70,"Neovison vison","70","70","70.1","1","70","Neovison vison","adult","Neovison vison","Chordata","Mammalia","Carnivora","Neovison","vison","species","predator","heterotroph","mobile","transient","no","no","Mustela vison","Gulf of Maine, USA","present study","free.living","NA","most papers were already in database from earlier search by LVK","direct observation","mink","mammals","Mustelidae","","x","NA","Y","n","n",3.98859820033212,0.257838767350214
71,"Calidris maritima","71","71","71.1","1","71","Calidris maritima","adult","Calidris maritima","Chordata","Aves","Charadriiformes","Calidris","maritima","species","predator","heterotroph","mobile","transient","no","no","Arquatella maritima (Brünnich, 1764); Tringa maritima Brünnich, 1764","","Randall Downer; Louis Bevier","free.living","NA","feeds on mussels; forages in rocky intertidal; very few results (<30)","expert opinion","purple sandpiper","birds","Aves","rare","","NA","Y","n","n",3.4921395264863,0.216865281091922
72,"Somateria mollissima","72","72","72.1","1","72","Somateria mollissima","adult","Somateria mollissima","Chordata","Aves","Anseriformes","Somateria","mollissima","species","predator","heterotroph","mobile","transient","no","no","Anas mollissima Linnaeus, 1758","","https://cdnsciencepub.com/doi/abs/10.1139/z04-124; https://ebird.org/species/comeid; present study","free.living","NA","eats mussels; chicks eaten by Great Black-backed gulls","in literature; direct observation","eider duck","birds","Aves","","x","NA","Y","n","n",3.20733486030473,0.462737426490775
73,"Hiatella arctica","73","73","73.1","1","73","Hiatella arctica","adult","Hiatella arctica","Mollusca","Bivalvia","Adapedonta","Hiatella","arctica","Species","filter feeder","heterotroph","sessile","resident","yes","yes","Biapholius spinosus Leach, 1822; Byssomia crispa Danilo & Sandri, 1856; Chama aculeata Strøm, 1768; Didonta bicarinata Schumacher, 1817; Hiatella arctica f. flaccida Gould, 1861; Hiatella arctica f. spinifera (G. B. Sowerby II, 1875) (junior synonym); Hiatella arenacea (E. A. Smith, 1910); Hiatella biaperta Daudin Bosc, 1801; //Hiatella lirata (E. A. Smith, 1910); Hiatella monoperta Bosc, 1801; Hiatella oblonga W. Turton, 1822; Hiatella orientalis (Yokoyama, 1920); Hiatella pholadis (Linnaeus, 1771); Hiatella solida (G.B. Sowerby I, 1834); //Hiatella striata (Fleuriau de Bellevue, 1802) (synonym); Hypogaea barbata Poli, 1795 (synonym); Mya arctica Linnaeus, 1767 (original combination); Mya byssifera Fabricius, 1780; Mytilus pholadis Linnaeus, 1771; Mytilus praecisus Montagu, 1803; //Petricola awana Yokoyama, 1924; Petricola linguatula Lamarck, 1818; Rhomboides rugosus var. aculeata Scacchi, 1836 (synonym); Saxicava acuta de Folin in de Folin & Périer, 1867; Saxicava arctica (Linnaeus, 1767); Saxicava arctica var. abbreviata Bucquoy, Dautzenberg & Dollfus, 1896 (synonym); Saxicava arctica var. dilatata Bucquoy, Dautzenberg & Dollfus, 1896 (synonym); Saxicava arctica var. inermis Bucquoy, Dautzenberg & Dollfus, 1896 (synonym); Saxicava arenacea E. A. Smith, 1910;// Saxicava australis Lamarck, 1818; Saxicava azaria Dall, 1881; Saxicava chilensis Hupé, 1854; Saxicava clavis Valenciennes, 1846; Saxicava conchotrypa Philippi, 1845; Saxicava distorta Say, 1822; //Saxicava flaccida Gould, 1861; Saxicava frigida Mabille & Rochebrune, 1889; Saxicava gallicana Lamarck, 1818; Saxicava groenlandica Potiez & Michaud, 1844; Saxicava guerini Hanley, 1843; Saxicava hawaiensis Dall, Bartsch & Rehder, 1938; //Saxicava hiatella Chenu, 1862; Saxicava initialis de Folin in de Folin & Périer, 1867; Saxicava insita Conrad, 1869; Saxicava lebruni Mabille & Rochebrune, 1889; Saxicava lirata E. A. Smith, 1910; Saxicava macrodon Philippi, 1851; Saxicava mollis Mabille & Rochebrune, 1889; //Saxicava orientalis Yokoyama, 1920; Saxicava petitii G. B. Sowerby II, 1875; Saxicava pholadis (Linnaeus, 1771); Saxicava pholadis gastrochaenoidea Carpenter, 1864; Saxicava purpurascens G. B. Sowerby I, 1834; Saxicava rietensis W. H. Turton, 1932 (junior synonym); Saxicava rubra Deshayes, 1845; Saxicava rugosa var. cylindrica Wood, 1847; Saxicava sakhalinensis Takeda, 1953; //Saxicava similis Deshayes, 1863; Saxicava solida G. B. Sowerby I, 1834; Saxicava spinifera G. B. Sowerby II, 1875; Saxicava striata Fleuriau de Bellevue, 1802; Saxicava subantarctica Preston, 1913; Saxicava subtriangularis W. H. Turton, 1932 (junior synonym); //Saxicava sulcata G. B. Sowerby II, 1875; Saxicava tenuis G. B. Sowerby I, 1834; Saxicava truncata Philippi, 1898; Saxicava ungana Grewingk, 1850; Saxicava veneriformis Lamarck, 1818; Solen minutus Linnaeus, 1767 (synonym); Sphenia bilirata Gabb, 1861; Spongyophylla irregularis Brusina, 1866; Tellina rhomboides Gmelin, 1791; Tellina rhomboides Poli, 1791 (synonym)","Gulf of Maine, USA","Larsen, Peter Foster. “The Macroinvertebrate Fauna of Rockweed (Ascophyllum Nodosum)–Dominated Low-Energy Rocky Shores of the Northern Gulf of Maine.” Journal of Coastal Research 279 (January 2012): 36–42. https://doi.org/10.2112/JCOASTRES-D-10-00004.1.; Doggett, L. F., Larsen, P. F., & Sykes, S. C. (1978). Intertidal bedrock areas of high species diversity in Maine, and their relevance to the Critical Areas Program. Maine State Planning Office, Natural Resource Planning Division, Critical Areas Program.","free.living","NA","in crevices, pools and low intertidal; multiple searches required due to high number of synonums (not many *new* results)","in literature","nestling clam","bivalves","Bivalvia","","x","NA","Y","y","y",2.3888888888889,0.31172839506173
