"species_2_Node.ID","species_1_Node.ID","species_2_id","species_1_id","Sp1.Species.Stage.ID","species_1_stage.ID","species_1_stage","species_1.accepted.name","species_2_id.1","Sp2.Species.Stage.ID","species_2_stage.ID","species_2_stage","species_2.accepted.name","interaction_sign","interaction_strength","Interaction_code","interaction_type","Justification","data.source","initials","Notes","latitude","longitude","Reference","ecosystem","tidal_zone","depth_meters","site_name","state","in_lab","experiment_or_observation","month","year_of_study","length_in_months_of_study","paper_id","last_name_first_author","year_published","DOI","in_maine","Timestamp","wave_exposure"
320,7,250,7,7.1,1,"adult","Littorina saxatilis",250,250.1,1,"adult","Cyanobacteriaceae",-1,"No",1,"herbivory","3","Paper.Database","HL","","","","","rocky intertidal","","","","","","","","","","974","Stafford","2005","10.2307/25470696","","",""
29,8,29,8,8.1,1,"adult","Littorina littorea",29,29.1,1,"adult","Fucus vesiculosus",-1,"No; Yes",1,"herbivory","3","Paper.Database","ANW; SLF; DT; BCE; DHC","doesn't specify rocky intertidal only says ""rocky shores""; fucus vesiculosus fed to littorina littorea during experiment but was not what was being studied ; ; Under low wave energy littorina littorea is able to graze on Fucus vesiculosus","NA; 42.416667; 44.436028","NA; 70.916667; 68.28475","21.Barker.1990.10.1007/BF02114681; 40.Yun.2012.10.1007/s00227-012-1926-5; 91.Lubchenco.1978.10.2307/2937360; 119.Dijkstra.2012.10.1111/j.1600-0706.2011.19712.x; 332.Lubchenco.1980.10.2307/1935192; 58.Peckol.2017.10.1111/jpy.12507; 289.Long, Jeremy.2007.10.1890/06-1585; 226.Dijkstra.2011.10.1111/j.1600-0706.2011.19712.x; 170.Bryson.2014.","; rocky intertidal; estuary","; low; mid",NA,"Cranberry Cove; Biologische Anstalt Helgoland; Canoe Beach Cove; Wells National Estuarine Research Reserve;  Ft. Wetherill, Jamestown, RI; Mount Desert Island Biological Laboratory, Salisbury Cove; Little River estuary Wells National Estuarine Research Reserve; Penobscot","Nova Scotia; Germany; ME; MA; Rhode Island ","Yes; No","experimental; observational","5; 3; 9; 7; 4; NA","1987; 2006; 1974; 2009; NA; 2005","8; 2; NA; 1; 38","21; 40; 91; 119; 332; 58; 289; 226; 170","Barker; Yun; Lubchenco; Dijkstra; Peckol; Long, Jeremy; Bryson","1990; 2012; 1978; 1980; 2017; 2007; 2011; 2014","10.1007/BF02114681; 10.1007/s00227-012-1926-5; 10.2307/2937360; 10.1111/j.1600-0706.2011.19712.x; 10.2307/1935192; 10.1111/jpy.12507; 10.1890/06-1585; ","No; Yes","6/10/2021 14:01:05; 6/18/2021 10:56:07; 6/29/2021 13:13:35; 6/30/2021 13:58:46; 7/1/2021 15:53:51; 7/5/2021 8:26:00; 7/21/2021 5:50:00; 7/21/2021 14:14:10; 12/10/2021 13:13:43","; wave protected"
38,8,38,8,8.1,1,"adult","Littorina littorea",38,38.1,1,"adult","Mastocarpus stellatus",-1,"No",1,"herbivory","3","Paper.Database","ANW","experiment repeated october - november 2006","53.183333","7.883333","40.Yun.2012.10.1007/s00227-012-1926-5","rocky intertidal","high",NA,"Helgoland ","Germany","Yes","experimental","3","2006","2","40","Yun","2012","10.1007/s00227-012-1926-5","No","6/18/21 10:50",""
41,8,41,8,8.1,1,"adult","Littorina littorea",41,41.1,1,"adult","Ralfsia fungiformis",-1,"No",1,"predation; herbivory","3","Globi; Paper.Database","DNM; ANW; SLF","NA; ","48.497064; 48.612572; 48.612273; 48.497256; 48.612437; NA","-68.495416; -68.229489; -68.231071; -68.49521; -68.22975; NA","Cattin Blandenier (2004); Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756; 6.Morello.2017.10.1016/j.jembe.2017.06.005; 85.Bertness.1983.10.1016/0022-0981(93)90070-5","NA; rocky intertidal","NA; mid","NA; 1","NA; Cape Ann; Haffenreffer Preserve of Brown University","NA; MA; Rhode Island","NA; No","NA; experimental","NA; 7; 4","NA; 2011; 1982","NA; 28; 0.25","NA; 6; 85","NA; Morello; Bertness","NA; 2017; 1983","NA; 10.1016/j.jembe.2017.06.005; 10.1016/0022-0981(93)90070-5","NA; No","6/29/22 14:00; 6/4/2021 12:02:09; 6/30/2021 12:14:42","NA; "
47,8,47,8,8.1,1,"adult","Littorina littorea",47,47.1,1,"adult","Hildenbrandia rubra",-1,"No",1,"herbivory","3","Paper.Database","SLF","",NA,NA,"85.Bertness.1983.10.1016/0022-0981(93)90070-5","rocky intertidal","mid",NA,"Haffenreffer Preserve of Brown University","Rhode Island","No","experimental","4","1982","0.25","85","Bertness","1983","10.1016/0022-0981(93)90070-5","No","6/30/21 12:17",""
52,8,52,8,8.1,1,"adult","Littorina littorea",52,52.1,1,"adult","Ulva lactuca",-1,"No; Yes",1,"predation; herbivory","3","Globi; Paper.Database","DNM; SLF; ANW; DT; LM","NA; ; Everything that I didn't know was entered as 0 or ""unknown""","51.5; 50.358082; NA; 42.418611; 42.416667; 44.166667; 42.424261; 0","-9.3; -4.12809; NA; 70.906111; 80.916667; 68.016667; 70.914489; 0","Cattin Blandenier (2004); Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756; 91.Lubchenco.1978.10.2307/2937360; 63.bracken.2014.10.1890/13-2094.1; 85.Bertness.1983.10.1016/0022-0981(93)90070-5; 331.Lubchenco.1983.10.2307/1937822; 58.Peckol.2017.10.1111/jpy.12507; 276.Dolecal, Renee.2013.10.1016/j.jembe.2012.12.009; 13.Putnam.2018.10.3354/meps12523","NA; rocky intertidal","NA; low; mid; ","NA; 1; 0","NA; ; East Point; Canoe Beach Cove; Grindstone Neck; Ft. Wetherill, Jamestown, RI; Nahant; Bristol, ME","NA; ME; MA; Rhode Island","NA; Yes; No; ","NA; observational; experimental","NA; 6; 4; 8; 5","NA; 1975; 2009; 1982; 1974; 2007; 2018","NA; 5; 0.5; 12; 1; 3; 0","NA; 91; 63; 85; 331; 58; 276; 13","NA; Lubchenco; bracken; Bertness; Peckol; Dolecal, Renee; Putnam","NA; 1978; 2014; 1983; 2017; 2013; 2018","NA; 10.2307/2937360; 10.1890/13-2094.1; 10.1016/0022-0981(93)90070-5; 10.2307/1937822; 10.1111/jpy.12507; 10.1016/j.jembe.2012.12.009; 10.3354/meps12523","NA; Yes; No","6/29/22 14:00; 6/29/2021 12:53:04; 6/29/2021 15:17:18; 6/30/2021 12:26:01; 7/1/2021 14:38:27; 7/1/2021 14:42:10; 7/5/2021 8:22:25; 7/8/2021 10:53:59; 2/24/2022 14:56:27","NA; ; Unknown"
320,8,250,8,8.1,1,"adult","Littorina littorea",250,250.1,1,"adult","Cyanobacteriaceae",-1,"No",1,"herbivory","10","Paper.Database","HL","","","","","rocky intertidal","","","","","","","","","","974","Stafford","2005","10.2307/25470696","","",""
2,18,2,18,18.1,1,"adult","Hemigrapsus sanguineus",2,2.1,1,"adult","Semibalanus balanoides",-1,"No",1,"predation","3","Paper.Database","SLF; BCE; JRR","","NA; 43.0351","NA; 70.4275","173.Griffen.2009.10.1007/s10530-008-9305-3; 329.Griffen.2021.10.1007/s10530-020-02377-4; 589.Tyrell.2002.","rocky intertidal","; low","NA; 0.5","Odiorne Point, New Hampshire, U.S.A.; Odiorne Point State Park and Fort Stark NH; Ft. Stark","NH","No","experimental","5; NA; 8","2005; NA; 2000","6; NA; 2","173; 329; 589","Griffen; Tyrell","2009; 2021; 2002","10.1007/s10530-008-9305-3; 10.1007/s10530-020-02377-4; ","No; Yes","7/12/2021 11:06:56; 7/28/2021 12:46:55; 10/7/2021 16:03:16","; wave protected"
7,18,7,18,18.1,1,"adult","Hemigrapsus sanguineus",7,7.1,1,"adult","Littorina saxatilis",-1,"No",1,"predation","3","Paper.Database","SLF; BCE; JRR","; Second site in NH","NA; 44.9","NA; 67.15","55.Hooks.2014.10.1016/j.jembe.2014.07.022; 329.Griffen.2021.10.1007/s10530-020-02377-4; 224.Teck.2006.","rocky intertidal","low; ; high",NA,"Long Island, NY; Odiorne Point State Park and Fort Stark NH; Cobscook Bay","New York; NH; ME","No; Yes","experimental","6; NA; 3","2012; NA; 2005","NA; 2","55; 329; 224","Hooks; Griffen; Teck","2014; 2021; 2006","10.1016/j.jembe.2014.07.022; 10.1007/s10530-020-02377-4; ","No; Yes","7/3/2021 9:58:19; 7/28/2021 12:46:37; 12/3/2021 15:44:48","; wave protected"
8,18,8,18,18.1,1,"adult","Hemigrapsus sanguineus",8,8.1,1,"adult","Littorina littorea",-1,"Yes; No",1,"predation","3","Paper.Database","DT; SLF; BCE; JRR","Mostly about Hemigrapsus sanguineus ability to withstand various salinities, and their roles in the intertidal ; ; specifically juvenile littorina littorea",NA,NA,"32.Gerald, V.A..1999.10.1023/A:1010093329077; 60.Bloch.2019.10.1656/045.026.0408; 173.Griffen.2009.10.1007/s10530-008-9305-3; 329.Griffen.2021.10.1007/s10530-020-02377-4; 583.Harris.2007.","rocky intertidal; estuary","; mid",NA,"Crane Neck Point (Central Long Island); Town Neck Beach in Sandwich, MA; Odiorne Point, New Hampshire, U.S.A.; Odiorne Point State Park and Fort Stark NH; Wentworth Marina, Coastal Marine Laboratory, Great Bay Marina, and Jackson  Estuarine Laboratory","NY; MA; NH","No","experimental; observational","9; NA; 5","1997; 2013; 2005; NA","10; 48; 6; NA","32; 60; 173; 329; 583","Gerald, V.A.; Bloch; Griffen; Harris","1999; 2019; 2009; 2021; 2007","10.1023/A:1010093329077; 10.1656/045.026.0408; 10.1007/s10530-008-9305-3; 10.1007/s10530-020-02377-4; ","No; Yes","6/10/2021 11:06:52; 7/5/2021 9:03:55; 7/12/2021 11:10:44; 7/28/2021 12:46:46; 10/6/2021 12:40:46","; not mentioned"
18,18,18,18,18.1,1,"adult","Hemigrapsus sanguineus",18,18.1,1,"adult","Hemigrapsus sanguineus",-1,"No",1,"predation","3","Paper.Database","BCE","Cannibalism. Other latitude and longitude include: 41.6278 N 71.3167 W","41.629167","71.3375","419.Kim.2007.10.1016/j.jembe.2007.01.011","","",NA,"Potter’s Cove and the South End of Potter’s Cove on Prudence Island in Narragansett Bay, RI","Rhode Island","Yes","experimental",NA,NA,NA,"419","Kim","2007","10.1016/j.jembe.2007.01.011","No","8/5/21 10:21","not mentioned"
29,18,29,18,18.1,1,"adult","Hemigrapsus sanguineus",29,29.1,1,"adult","Fucus vesiculosus",-1,"No",1,"herbivory","4","inferred by D Morton","DNM","",NA,NA,"173.Griffen.2009.10.1007/s10530-008-9305-3","rocky intertidal","",NA,"Odiorne Point, New Hampshire, U.S.A.","NH","No","experimental","5","2005","6","173","Griffen","2009","10.1007/s10530-008-9305-3","No","7/12/21 10:07",""
38,18,38,18,18.1,1,"adult","Hemigrapsus sanguineus",38,38.1,1,"adult","Mastocarpus stellatus",-1,"No",1,"herbivory","3","Paper.Database","SLF; AAK","",NA,NA,"173.Griffen.2009.10.1007/s10530-008-9305-3; 354.Griffen.2007.","rocky intertidal","","NA; -0.3","Odiorne Point, New Hampshire, U.S.A.; Odiorne Point","NH","No","experimental","5; NA","2005","6; NA","173; 354","Griffen","2009; 2007","10.1007/s10530-008-9305-3; ","No","7/12/2021 11:03:07; 12/2/2021 15:12:22",""
66,18,66,18,18.1,1,"adult","Hemigrapsus sanguineus",66,66.1,1,"adult","Homarus americanus",-1,"No",1,"predation","3","Paper.Database","JRR","In lab, Asian shore crabs collected in Mass., lobsters hatched in lab",NA,NA,"585.Demeo.2006.","","",NA,"Sandwich Town Beach on Cape Cod and Manchester Beach in Massachusetts","MA","Yes","experimental",NA,NA,NA,"585","Demeo","2006","","No","10/6/21 13:29",""
167,18,167,18,18.1,1,"adult","Hemigrapsus sanguineus",167,167.1,1,"adult","Detritus.carrion",-1,"No",1,"predation","4","inferred by D Morton","DNM","","43.807","-69.995","https://academic.oup.com/jcb/article/25/1/130/2670515","rocky intertidal","",NA,"","CT","Yes","","","","","","","","","","",""
2,20,2,20,20.1,1,"adult","Tautogolabrus adspersus",2,2.1,1,"adult","Semibalanus balanoides",-1,"Yes; No",1,"predation","3","Paper.Database","SLF; SKM","",NA,NA,"130.Ojeda.1986.; 208.Chao.1973.","rocky intertidal","high; ",NA,"pemaquid point; East Point, Nahant","ME; MA","Yes","experimental; observational","9; 5","1986; 1970","0.033; 17","130; 208","Ojeda; Chao","1986; 1973","","Yes; No","7/19/2021 13:01:43; 8/6/2021 9:58:33","; not mentioned"
8,20,8,20,20.1,1,"adult","Tautogolabrus adspersus",8,8.1,1,"adult","Littorina littorea",-1,"No",1,"predation","3","Paper.Database","LVM","All unknown entered as a ""0""","0","0","103.Perez.2008.10.1016/j.jembe.2008.09.019","rocky intertidal","high","4","Appledore Island","NH","No","observational","7","2002","4","103","Perez","2008","10.1016/j.jembe.2008.09.019","No","3/1/22 12:36","wave intermediate"
18,20,18,20,20.1,1,"adult","Tautogolabrus adspersus",18,18.1,1,"adult","Hemigrapsus sanguineus",-1,"Yes; No",1,"predation","3; 6","Paper.Database","EEP; BCE; JRR","; Other latitude and longitude include: 41.6278 N 71.3167 W; Fish collected in subtidal areas, crabs collected from rocky intertidal.","NA; 41.629167; 41.32","NA; 71.3375; 72.06","217.Savaria.2013.10.1016/j.jembe.2013.10.003; 419.Kim.2007.10.1016/j.jembe.2007.01.011; 588.Heinonen.2012.10.1016/j.jembe.2011.12.011; 583.Harris.2007.","; rocky intertidal","",NA,"; Potter’s Cove and the South End of Potter’s Cove on Prudence Island in Narragansett Bay, RI; Connecticut shore","MA; Rhode Island; CT; ","Yes; ","experimental; ","8; NA; 7","2011; NA; 2006","13; NA; 14","217; 419; 588; 583","Savaria; Kim; Heinonen; Harris","2013; 2007; 2012","10.1016/j.jembe.2013.10.003; 10.1016/j.jembe.2007.01.011; 10.1016/j.jembe.2011.12.011; ","No","7/21/2021 9:19:08; 8/5/2021 10:18:35; 10/7/2021 15:39:54; 10/6/21 12:50","; not mentioned"
66,20,66,20,20.1,1,"adult","Tautogolabrus adspersus",66,66.1,1,"adult","Homarus americanus",-1,"No",1,"predation","3","Paper.Database","JRR; LM","No information on where species were collected; ; In Gulf of St Lawrence",NA,NA,"595.Barshaw.1988.; 597.Lavalli.1986.; 800.Hanson.1999.10.1577/1548-8659(2000)129<0013:EOACPO>2.0.CO;2; 804.Boudreau Stephanie.2012.; 687.Hudon.1989.","; subtidal; rocky intertidal","; low",NA,"; Chaleur Bay","MA; New Brunswick; ME; ","Yes; No; ","experimental; observational; ","6; 7; NA","1986; 1985; 1996; NA","4; 2; NA","595; 597; 800; 804; 687","Barshaw; Lavalli; Hanson; Boudreau Stephanie; Hudon","1988; 1986; 1999; 2012; 1989","; 10.1577/1548-8659(2000)129<0013:EOACPO>2.0.CO;2","No; Yes","10/14/2021 13:38:38; 10/14/2021 13:48:51; 11/8/2021 13:38:36; 11/10/2021 18:21:51; 10/27/21 11:50","; not mentioned"
87,20,87,20,20.1,1,"adult","Tautogolabrus adspersus",87,87.1,1,"adult","Asterias forbesi",-1,"No",1,"predation","10","inferred by D Morton","DNM",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,21,18,21,21.1,1,"adult","Larus marinus",18,18.1,1,"adult","Hemigrapsus sanguineus",-1,"Yes; No",1,"predation","6","inferred by D Morton","DNM","","42.966667; NA","70.616667; NA","113.Ellis.2005.10.1016/j.jembe.2005.04.001; 112.Rome.2004.10.1675/1524-4695(2004)027[0200:FEAIBH]2.0.CO;2; 107.Ellis.2012.10.1016/j.jembe.2012.02.014; 353.O'Keefe.2004.","rocky intertidal; subtidal","low; ; high",NA,"Shoals Marine Laboratory, Appledore Island; Shoals Marine Lab; Isles of Sholes","ME; NH","No","experimental; observational","NA; 6","2000; 2001; NA","36; 3; NA","113; 112; 107; 353","Ellis; Rome; O'Keefe","2005; 2004; 2012","10.1016/j.jembe.2005.04.001; 10.1675/1524-4695(2004)027[0200:FEAIBH]2.0.CO;2; 10.1016/j.jembe.2012.02.014; ","Yes; No","7/9/2021 9:44:35; 7/10/2021 11:02:51; 9/24/2021 12:02:47; 12/2/2021 15:27:25","; wave protected and exposed sites"
22,21,22,21,21.1,1,"adult","Larus marinus",22,22.1,1,"adult","Larus argentatus",-1,"Yes",1,"predation","3","Paper.Database","DT","There are other interactions with species not listed on the species checklist","44.983333","66.7","446.Gilliland, S.G..2004.10.1139/z04-124","","",NA,"Wolves Archipelago","ME","No","observational","5","1988","12","446","Gilliland, S.G.","2004","10.1139/z04-124","Yes","8/3/21 12:59","not mentioned"
66,21,66,21,21.1,1,"adult","Larus marinus",66,66.1,1,"adult","Homarus americanus",-1,"Yes; No",1,"predation","4","inferred by D Morton","DNM","","42.966667; 43.05; 44.58; NA","70.616667; 70.716667; 66.75; NA","106.Ellis.2007.10.1890/06-0593; 96.Good.1992.10.1016/0022-0981(92)90167-9; 113.Ellis.2005.10.1016/j.jembe.2005.04.001; 112.Rome.2004.10.1675/1524-4695(2004)027[0200:FEAIBH]2.0.CO;2; 445.Steenweg, Rolanda.2011.10.1525/cond.2011.110004; 107.Ellis.2012.10.1016/j.jembe.2012.02.014; 353.O'Keefe.2004.","rocky intertidal; subtidal; ","low; ; high",NA,"Appledore Island; Portsmouth; Shoals Marine Laboratory, Appledore Island; Shoals Marine Lab; Kent Island in the Grand Manan archipelago of the lower Bay of Fundy; Isles of Sholes","ME; NH; New Brunswick","No","experimental; observational","7; NA; 6; 5","2004; 1990; 2000; 2001; 2009; NA","1; 3; 36; 2; NA","106; 96; 113; 112; 445; 107; 353","Ellis; Good; Rome; Steenweg, Rolanda; O'Keefe","2007; 1992; 2005; 2004; 2011; 2012","10.1890/06-0593; 10.1016/0022-0981(92)90167-9; 10.1016/j.jembe.2005.04.001; 10.1675/1524-4695(2004)027[0200:FEAIBH]2.0.CO;2; 10.1525/cond.2011.110004; 10.1016/j.jembe.2012.02.014; ","Yes; No","6/10/2021 7:13:55; 7/7/2021 11:43:01; 7/7/2021 11:45:30; 7/9/2021 9:44:19; 7/10/2021 10:35:32; 8/3/2021 15:34:04; 9/24/2021 11:58:08; 12/2/2021 15:23:45","; not mentioned; wave exposed and protected sites"
71,21,71,21,21.1,1,"adult","Larus marinus",71,71.1,1,"adult","Calidris maritima",-1,"Yes",1,"predation","6","inferred by D Morton","DNM","","44.983333","66.7","446.Gilliland, S.G..2004.10.1139/z04-124","","",NA,"Wolves Archipelago","ME","No","observational","5","1988","12","446","Gilliland, S.G.","2004","10.1139/z04-124","Yes","8/3/21 12:59","not mentioned"
72,21,72,21,21.1,1,"adult","Larus marinus",72,72.1,1,"adult","Somateria mollissima",-1,"No; Yes",1,"predation","3; 6","Globi; Paper.Database; inferred by D Morton","DNM; AAK; DNM","NA; gull predation on juvenile/eggs of eider duck; also mentioned in Wikipedia page for species","NA; 42.98695928; 50.21216667; 43.516667; 44.983333","NA; -70.61488314; -64.192; -70.316667; 66.7","https://datadryad.org/stash/downloads/file_stream/375180; Maiorano, L., Montemaggiori, A., Ficetola, G.F., O’Connor, L. & Thuiller, W. (2020), Data from: Tetra-EU 1.0: a species-level trophic meta-web of European tetrapods, Dryad, Dataset, https://doi.org/10.5061/dryad.jm63xsj7b; beck. 2021. Larus marinus interaction->preyed on Somateria mollissima. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/86280581> on 25 Jun 2022.; http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.; Paul Tavares. 2019. Larus marinus interaction->preyed on Somateria mollissima. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/28363661> on 25 Jun 2022.; http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.; 439.Donehower.2006.; 446.Gilliland, S.G..2004.10.1139/z04-124","NA; ; ","NA; ; ",NA,"NA; Stratton Island; Wolves Archipelago","NA; ME; ME","NA; No; No","NA; observational; observational","NA; 5; 5","NA; 2004; 1988","NA; 4; 12","NA; 439; 446","NA; Donehower; Gilliland, S.G.","NA; 2006; 2004","NA; ; 10.1139/z04-124","NA; Yes; Yes","6/29/22 14:00; 12/2/2021 12:23:36; 8/3/21 12:59","NA; not mentioned; not mentioned"
87,21,87,21,21.1,1,"adult","Larus marinus",87,87.1,1,"adult","Asterias forbesi",-1,"No",1,"predation","6","inferred by D Morton","DNM","","74","36","Bodini, A., Bellingeri, M., Allesina, S. and Bondavalli, C. 2009. Using food web dominator trees to catch secondary extinctions in action. Philosophical Transactions of the Royal Society B-Biological Sciences, 364: 1725-1731.; Benjamin Planque, Raul Primicerio, Kathrine Michalsen, Michaela Aschan, Grégoire Certain, Padmini Dalpadado, Harald Gjøsæater, Cecilie Hansen, Edda Johannesen, Lis Lindal Jørgensen, Ina Kolsum, Susanne Kortsch, Lise-Marie Leclerc, Lena Omli, Mette Skern-Mauritzen, and Magnus Wiedmann 2014. Who eats whom in the Barents Sea: a food web topology from plankton to whales. Ecology 95:1430–1430. https://doi.org/10.1890/13-1062.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/29/22 14:00",NA
117,21,117,21,21.1,1,"adult","Larus marinus",117,117.1,1,"adult","Phalacrocorax auritus",-1,"Yes",1,"predation","6","inferred by D Morton","DNM","also mentioned in Wikipedia page for species","44.983333","66.7","446.Gilliland, S.G..2004.10.1139/z04-124","","",NA,"Wolves Archipelago","ME","No","observational","5","1988","12","446","Gilliland, S.G.","2004","10.1139/z04-124","Yes","8/3/21 12:59","not mentioned"
167,21,167,21,21.1,1,"adult","Larus marinus",167,167.1,1,"adult","Detritus.carrion",-1,"Yes; No",1,"predation","3","in literature","DNM","","","","https://www.allaboutbirds.org/guide/Great_Black-backed_Gull/lifehistory","","","","","","","","","","","","","","","","",""
